"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"H3,H1,H5,H4,H2";"MountingHole_2.2mm_M2_ISO7380_Pad";5;"MountingHole";;;
2;"J2";"JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical";1;"AVR-ISP-6";;;
3;"Q1";"TO-220-3_Horizontal_TabUp-no-mounting-hole";1;"Q_NMOS_GDS";;;
4;"D1";"TO-220-2_Horizontal_TabUp-no-mounting-hole";1;"D_Schottky";;;
5;"U3";"SOT-23";1;"L7805";;;
6;"U2";"SOIJ-8_5.3x5.3mm_P1.27mm";1;"ATtiny85-20SU";;;
7;"U1";"AL8871Q";1;"AL8871Q";;;
8;"R5";"JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical";1;"10K";;;
9;"R4";"R_0805_2012Metric";1;"1.3K";;;
10;"R3";"R_0805_2012Metric";1;"2.2K";;;
11;"R2";"R_2512_6332Metric";1;"0.082";;;
12;"R1";"R_2512_6332Metric";1;"0.09";;;
13;"L1";"L_12x12mm_H8mm";1;"INDUCTOR";;;
14;"J1";"TestPoint_2Pad_4.0x4.0mm";1;"LEMO2";;;
15;"D2";"TestPoint_2Pad_4.0x4.0mm";1;"LED";;;
16;"C6";"C_0805_2012Metric";1;"330pF";;;
17;"C5";"C_0805_2012Metric";1;"100nF";;;
18;"C4,C3";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"1uF";;;
19;"C2,C1";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"10uF";;;
